hyprlang 0.6.8-3
hyprlock 0.9.4-1
hyprpolkitagent 0.1.3-6
hyprtoolkit 0.5.3-2
hyprutils 0.12.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.3.0-2
iana-etc 20260409-1
ibus 1.5.33-3
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
imagemagick 7.1.2.19-1
imath 3.2.2-4
imlib2 1.12.6-1
inetutils 2.7-2
iniparser 4.2.6-2
intel-gmmlib 22.9.0-2
intel-media-driver 25.4.6-1
intel-ucode 20260227-1
inxi 3.3.40.1-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
itstool 1:2.0.7-3
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.u35-1
jemalloc 1:5.3.1-1
jq 1.8.1-1
js140 140.9.1-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jujutsu 0.40.0-1
karchive 6.25.0-1
kbd 2.9.0-1
kbookmarks 6.25.0-1
kcodecs 6.25.0-1
kcolorscheme 6.25.0-1
kcompletion 6.25.0-1
kconfig 6.25.0-1
kcontacts 1:6.25.0-1
kcoreaddons 6.25.0-1
kcrash 6.25.0-1
kdbusaddons 6.25.0-1
kdeclarative 6.25.0-1
kdeconnect 25.12.3-1
keyutils 1.6.3-4
kglobalaccel 6.25.0-1
kguiaddons 6.25.0-1
ki18n 6.25.0-1
kiconthemes 6.25.0-1
kio 6.25.0-1
kirigami 6.25.0-1
kirigami-addons 1.12.0-1
kitemmodels 6.25.0-1
kitemviews 6.25.0-1
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.25.0-1
kmod 34.2-1
knotifications 6.25.0-1
kpeople 6.25.0-1
krb5 1.21.3-2
kservice 6.25.0-1
kstatusnotifieritem 6.25.0-1
ksvg 6.25.0-1
kvantum 1.1.6-1
kwallet 6.25.0-1
kwidgetsaddons 6.25.0-1
kwindowsystem 6.25.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lcms2 2.18-1
ldb 2:4.24.0-1
leancrypto 1.7.2-1
less 1:692-1
lf 41-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.19.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.7.5-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
